track_name,TCGA-A8-A097,TCGA-AR-A256,TCGA-A7-A2KD,TCGA-E2-A9RU,TCGA-AO-A1KS,TCGA-A8-A06R,TCGA-GI-A2C8,TCGA-AC-A3W5,TCGA-B6-A0RT,TCGA-A8-A08G,TCGA-A2-A0CU,TCGA-B6-A0WX,TCGA-E9-A226,TCGA-A8-A06U,TCGA-A8-A08P,TCGA-AO-A124,TCGA-AO-A0J6,TCGA-OL-A5RW,TCGA-A8-A07B,TCGA-BH-A202,TCGA-AR-A24K,TCGA-AR-A5QQ,TCGA-A2-A0CW
TP53,-1.1976,-1.9865,-2.1678,-0.434,-3.0058,-1.9807,-1.8017,-1.3206,1.3504,-0.8505,-0.7812,2.4385,-2.0633,-2.4381,-2.1847,-2.8038,-2.6319,-2.6581,-2.7502,-2.639,-2.4494,-2.2559,-2.8132
PTEN,0.1078,0.8147,0.1754,-0.0969,2.1528,0.446,-0.1558,-0.1348,0.0578,0.3293,-0.7862,-0.0051,1.3916,-0.2774,0.1648,-4.1529,-3.0878,-1.176,0.8625,-0.5341,1.1402,-0.8639,-0.2574
CDH1,0.2202,0.4329,0.266,-0.2662,0.0194,0.3822,-0.2511,-0.3308,-0.0973,0.7652,1.718,0.0595,0.6268,0.7478,0.1838,0.1175,0.3876,-1.4268,-2.9978,-0.419,-0.0533,-0.5052,1.6788
